"Address","C.SH","jensiat","sen","savad","m.t.s","v.f.s","N.T.M","T.O","S.Z","M.O.B","OTO","MO","DO","ZABT","TV","PC","TEL.H","OJAGH.GAZ","JAROO.B","MASHIN.L","CHARKH.KH","PANKE","MASHIN.Z","H.KHORAKI.NOOSHIDANI","H.ERTEBATAT","H.BEHDASHT","H.HAMLONAGHL","H.KALA.MOT","H.MASKAN","H.MOBLEMAN","H.POOSHAK","KHARID.KALA.BADAVAM","H.SARMAYEGOZARI","M.DARAMAD.NAKH","HOOGHOOGH.MOSTAMAR","GH.MOSTAMAR","M.DARAMAD.KH","DARYAFTI.NAKH.F","DARAMAD.M.KH.1","DARAMAD.M.KH.2","DARAMAD.M.KH.3","DARAMAD.M.KH.4","M.INCOME","DAHAK","DAHAK10"
12316288324,23,1,30,1,4,1,4,4,90,0,1,0,0,0,1,0,1,1,1,1,0,0,0,9600000,530000,2e+05,150000,2e+06,18230000,6550000,0,412720000,1e+07,3.55e+08,0,0,2.4e+08,2.12e+09,0,0,0,18200000,2733200000,9,0
12317291921,23,1,30,1,1,1,3,3,60,0,0,0,0,0,1,0,1,1,1,1,0,0,0,24820000,1e+06,4100000,5e+05,1800000,9010000,1210000,0,90700000,0,0,0,1.5e+07,9.6e+08,0,0,0,0,0,9.75e+08,5,0
12319292525,23,1,30,1,1,1,1,3,42,1,1,0,0,0,1,0,1,1,1,1,0,0,0,27850000,1e+05,0,1700000,580000,12550000,3890000,1400000,220000,0,1.2e+09,0,0,6e+08,0,0,0,0,20640000,1820640000,8,0
12319292821,23,1,30,1,4,1,6,3,75,0,1,0,0,0,1,0,1,1,1,1,1,0,0,12631000,1410000,10985000,950000,1950000,24950000,1510000,1e+05,550100000,0,0,0,0,849359996,0,0,2.3e+07,0,3.3e+07,905359996,4,0
12319293032,23,1,30,1,1,1,1,3,70,1,1,0,0,0,1,0,1,1,1,1,0,0,0,19430000,2e+05,0,1e+06,2200000,25850000,120000,10530000,47640000,0,3.6e+08,3.8e+08,0,2.1e+08,4.8e+08,0,3400000,0,29100000,1462500000,7,0
12319293132,23,1,30,1,2,1,1,3,70,0,1,0,0,0,1,0,1,1,1,1,1,0,0,12608650,1700000,5991000,1200000,1200000,20930000,310000,2350000,3310000,0,0,0,0,3e+08,0,0,0,7.44e+08,0,1.044e+09,5,0
12320285729,23,1,30,1,2,1,3,3,67,0,1,0,0,0,1,0,1,1,1,1,1,0,0,18690000,2e+05,2e+05,10500000,1770000,27730000,0,0,26228776,0,0,0,0,2.34e+08,0,0,0,0,1e+07,2.44e+08,2,0
12321293429,23,1,30,1,4,1,1,4,100,0,1,0,0,0,1,0,1,1,1,1,1,0,0,7297700,2200000,2600000,7500000,2020000,16165000,7e+05,0,1497536,0,609500000,3.36e+08,0,706400000,0,1.2e+08,1.56e+08,0,5.4e+07,1981900000,8,0
12321293535,23,1,30,1,4,2,1,3,70,0,0,0,0,0,1,1,1,1,1,1,1,0,0,11980000,305000,0,350000,1100000,21715000,1050000,0,3900000,0,3e+08,0,0,4e+08,5.73e+08,0,0,0,52640000,1325640000,6,0
12321293620,23,1,30,1,1,1,1,3,60,1,0,0,0,0,1,0,1,1,1,1,1,0,0,22577000,0,4e+05,6e+05,3330000,21170000,1995000,2e+05,118940000,0,0,3.81e+08,0,2.4e+08,0,0,0,0,16560000,637560000,3,0
12301269023,23,1,31,1,2,1,4,4,70,0,1,0,0,0,1,0,1,1,1,1,1,0,0,28560500,1530000,0,1300000,2050000,17735000,750000,2e+05,816500000,3e+07,0,4.32e+08,1.5e+07,1561500000,0,0,0,0,3.7e+07,2045500000,8,0
12301270730,23,1,31,1,6,1,1,4,86,0,0,0,0,0,1,0,1,1,1,1,0,0,1,6825000,2176000,0,0,250000,53640000,0,250000,441319840,0,0,762400000,3.7e+07,0,0,0,0,0,16560000,815960000,4,0
12301270835,23,1,31,1,6,1,1,4,106,0,1,0,0,0,1,1,1,1,1,1,0,0,1,5210000,1200000,1555000,1200000,2200000,106760000,1655000,2950000,10290000,0,0,0,0,1.889e+09,1.7e+09,0,160000,0,12360000,3601520000,10,1
